predict_type,known_columns,num_known_columns,secret_column,predicted_value,true_value,encoded_predicted_value,encoded_true_value,prediction,base_confidence,attack_confidence
base,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,0.56,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,0.68,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,c,3,2,False,0.5,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.44,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.38,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,0.53,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,0.75
base,"[""f1"", ""i2""]",2,t1,c,b,2,1,False,0.6,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,c,3,2,False,0.48,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,0.51,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,0.6666666666666666
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.51,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,0.75
base,"[""f1"", ""i2""]",2,t1,a,b,0,1,False,0.54,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,c,0,2,False,0.58,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.41,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,c,b,2,1,False,0.64,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,0.59,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,b,3,1,False,0.72,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.94,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,c,3,2,False,0.7,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,0.56,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,b,3,1,False,0.56,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,0.6666666666666666
base,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,0.38,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.59,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,c,a,2,0,False,0.47,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,a,1,0,False,0.78,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,b,3,1,False,0.68,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.62,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,0.77,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,0.53,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,0.58,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.54,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,0.75
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.61,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.5,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,c,b,2,1,False,0.67,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,a,3,0,False,0.63,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.48,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,c,3,2,False,0.46,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,0.8,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,0.67,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,a,1,0,False,0.62,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,b,0,1,False,0.69,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,b,0,1,False,0.52,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,0.6,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,0.8,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,c,d,2,3,False,0.52,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,c,1,2,False,0.47,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,c,0,2,False,0.56,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,0.6666666666666666
base,"[""f1"", ""i2""]",2,t1,b,c,1,2,False,0.72,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,0.75
base,"[""f1"", ""i2""]",2,t1,a,b,0,1,False,0.4,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,0.6666666666666666
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,a,a,0,0,True,1.0,
attack,"[""i1""]",1,t1,a,a,0,0,True,,0.8605086750788643
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,a,a,0,0,True,1.0,
attack,"[""i1""]",1,t1,a,a,0,0,True,,0.8605086750788643
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,a,a,0,0,True,1.0,
attack,"[""i1""]",1,t1,a,a,0,0,True,,0.8605086750788643
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,a,a,0,0,True,1.0,
attack,"[""i1""]",1,t1,a,a,0,0,True,,0.8605086750788643
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,c,c,2,2,True,1.0,
attack,"[""i1""]",1,t1,c,c,2,2,True,,0.8553693984658861
base,"[""i1""]",1,t1,a,a,0,0,True,1.0,
attack,"[""i1""]",1,t1,a,a,0,0,True,,0.8605086750788643
base,"[""i1""]",1,t1,b,b,1,1,True,1.0,
attack,"[""i1""]",1,t1,b,b,1,1,True,,0.8574014481094127
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
base,"[""i1""]",1,t1,d,d,3,3,True,1.0,
attack,"[""i1""]",1,t1,d,d,3,3,True,,0.8620551779288285
